,url,name,size,prize
0,['https://www.stadiumgoods.com/air-jordan-1-rettro-low-og-bg-white-varsity-red-white-709999-101'],['\n                        Air Jordan 1 Rettro Low OG BG                                                                    '],"['Choose your size (U.S.)', '4Y', '6Y', '6.5Y', '7Y', '3.5Y', '4.5Y', '5Y', '5.5Y']","['', '\n$140.00\n', '\n$120.00\n', '\n$120.00\n', '\n$120.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
1,['https://www.stadiumgoods.com/air-jordan-1-retro-high-gg-332148-019-black-black-hyper-pink-white'],['\n                        Air Jordan 1 Retro High GG                                                                    '],"['Choose your size (U.S.)', '7Y*', '3.5Y', '4Y', '4.5Y', '5Y', '5.5Y', '6Y', '6.5Y', '7.5Y', '8Y', '8.5Y', '9Y']","['', '\n$110.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
2,['https://www.stadiumgoods.com/air-jordan-1-mid-se-852542-003-light-bone-grey-fog'],['\n                        Air Jordan 1 MID SE                                                                    '],"['Choose your size (U.S.)', '12*', '13', '4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12.5', '14', '15', '16', '17', '18']","['', '\n$139.00\n', '\n$89.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
3,['https://www.stadiumgoods.com/jordan-1-retro-high-bp-705303-603-gymred-gymred'],['\n                        Jordan 1 Retro High BP                                                                    '],"['Choose your size (U.S.)', '3Y*', '13C', '1Y', '2Y', '2.5Y', '10.5C', '11C', '11.5C', '12C', '12.5C', '13.5C', '1.5Y']","['', '\n$85.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
4,['https://www.stadiumgoods.com/air-jordan-1-retro-high-og-bg-black-black-gum-light-brown-575441-020'],['\n                        Air Jordan 1 Retro High OG BG                                                                    '],"['Choose your size (U.S.)', '4.5Y', '5Y', '5.5Y', '6Y', '6.5Y', '7Y', '3.5Y', '4Y']","['', '\n$185.00\n', '\n$185.00\n', '\n$140.00\n', '\n$185.00\n', '\n$170.00\n', '\n$185.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
5,['https://www.stadiumgoods.com/air-jordan-1-retro-99-654140-001-black-gym-red-black'],['\n                        Air Jordan 1 Retro 99                                                                    '],"['Choose your size (U.S.)', '11.5', '16', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '12', '12.5', '13', '13.5', '14', '15']","['', '\n$120.00\n', '\n$115.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
6,['https://www.stadiumgoods.com/air-jordan-1-retro-high-bg-705300-404-team-royal-team-royal'],['\n                        Air Jordan 1 Retro High BG                                                                    '],"['Choose your size (U.S.)', '4Y*', '5.5Y*', '3.5Y', '4.5Y', '5Y', '6Y', '6.5Y', '7Y']","['', '\n$45.00\n', '\n$85.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
7,['https://www.stadiumgoods.com/air-jordan-1-retro-high-decon-natural-natural-white-867388-100'],['\n                        Air Jordan 1 Retro High Decon                                                                    '],"['Choose your size (U.S.)', '10.5*', '7', '7.5', '8', '8.5', '9', '9.5', '10', '11', '11.5', '12', '12.5', '13', '13.5', '14', '15', '16', '17', '18']","['', '\n$100.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
8,['https://www.stadiumgoods.com/jordan-1-mid-se-ps-bq6932-301-pine-green-black-sail'],['\n                        Jordan 1 Mid SE (PS)                                                                    '],"['Choose your size (U.S.)', '2Y', '13C', '1Y', '2.5Y', '10.5C', '11C', '11.5C', '12C', '12.5C', '13.5C', '1.5Y', '3Y']","['', '\n$100.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
9,['https://www.stadiumgoods.com/air-jordan-1-mid-554724-708-unvrsty-gold-yllw-white-grp-ic'],['\n                        Air Jordan 1 Mid                                                “Lakers”                     '],"['Choose your size (U.S.)', '8', '4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15', '16', '17', '18']","['', '\n$259.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
10,['https://www.stadiumgoods.com/air-jordan-1-ret-hi-prem-hc-gg-832596-001-black-black-white-gym-red'],['\n                        Air Jordan 1 Ret HI Prem HC GG                                                                    '],"['Choose your size (U.S.)', '3.5Y*', '5.5Y*', '6Y*', '6.5Y*', '7Y*', '4Y', '4.5Y', '5Y', '7.5Y', '8Y', '8.5Y', '9Y', '9.5Y']","['', '\n$95.00\n', '\n$95.00\n', '\n$95.00\n', '\n$55.00\n', '\n$95.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
11,['https://www.stadiumgoods.com/air-jordan-1-mid-554724-024-black-black-gym-red-anthracit'],['\n                        Air Jordan 1 Mid                                                                    '],"['Choose your size (U.S.)', '12', '4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12.5', '13', '14', '15', '16', '17', '18']","['', '\n$159.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
12,['https://www.stadiumgoods.com/air-jordan-1-retro-ultra-high-white-mtlc-gld-cn-blk-pr-pltnm-844700-132'],['\n                        Air Jordan 1 Retro Ultra High                                                                    '],"['Choose your size (U.S.)', '8*', '14', '7', '7.5', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '15', '16', '17', '18']","['', '\n$115.00\n', '\n$110.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
13,['https://www.stadiumgoods.com/wmns-air-jordan-1-ret-high-soh-215078'],['\n                        WMNS Air Jordan 1 RET High SOH                                                                    '],"['Choose your size (U.S.)', '5.5Y', '6.5Y', '7Y', '7.5Y', '8.5Y*', '9Y', '3.5Y', '4Y', '4.5Y', '5Y', '6Y', '8Y', '9.5Y', '10Y', '10.5Y']","['', '\n$209.00\n', '\n$139.00\n', '\n$139.00\n', '\n$139.00\n', '\n$120.00\n', '\n$139.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
14,['https://www.stadiumgoods.com/air-jordan-1-retro-high-gym-red-metallic-silver-white-332550-602'],['\n                        Air Jordan 1 Retro High                                                                    '],"['Choose your size (U.S.)', '10*', '11.5', '13*', '7', '7.5', '8', '8.5', '9', '9.5', '10.5', '11', '12', '12.5', '13.5', '14', '15', '16', '17', '18']","['', '\n$279.00\n', '\n$185.00\n', '\n$165.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
15,['https://www.stadiumgoods.com/air-jordan-1-retro-low-og-bg-black-varsity-royal-sail-709999-004'],['\n                        Air Jordan 1 Retro Low OG BG                                                                    '],"['Choose your size (U.S.)', '6.5Y', '4Y', '4.5Y', '5Y', '5.5Y', '6Y', '7Y']","['', '\n$90.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
16,['https://www.stadiumgoods.com/air-jordan-1-mid-wb-gg-wheat-pink-glaze-shimmer-724072-730'],['\n                        Air Jordan 1 Mid WB GG                                                “Lola Bunny”                     '],"['Choose your size (U.S.)', '4.5Y', '5Y*', '7.5Y*', '3.5Y', '4Y', '5.5Y', '6Y', '6.5Y', '7Y', '8Y', '8.5Y', '9Y', '9.5Y']","['', '\n$235.00\n', '\n$209.00\n', '\n$235.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
17,['https://www.stadiumgoods.com/air-jordan-1-retro-high-332550-800-max-orange-black'],['\n                        Air Jordan 1 Retro High                                                                    '],"['Choose your size (U.S.)', '10.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '11', '11.5', '12', '12.5', '13', '13.5', '14', '15', '16', '17', '18']","['', '\n$235.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
18,['https://www.stadiumgoods.com/air-jordan-1-retro-high-og-bg-white-black-carmine-575441-123'],['\n                        Air Jordan 1 Retro High OG BG                                                “Carmine”                     '],"['Choose your size (U.S.)', '7Y', '3.5Y', '4Y', '4.5Y', '5Y', '5.5Y', '6Y', '6.5Y']","['', '\n$510.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
19,['https://www.stadiumgoods.com/air-jordan-1-re-hi-og-laser-bg-white-metallic-silver-705290-100'],['\n                        Air Jordan 1 Re Hi OG Laser BG                                                “Laser”                     '],"['Choose your size (U.S.)', '4.5Y*', '5Y*', '5.5Y*', '6Y*', '6.5Y*', '7Y*', '3.5Y', '4Y']","['', '\n$185.00\n', '\n$185.00\n', '\n$185.00\n', '\n$209.00\n', '\n$219.00\n', '\n$235.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
