,url,name,size,prize
0,['https://www.stadiumgoods.com/air-jordan-1-mid-gs-white-pl-554725-607-university-red-black-white'],['\n                        Air Jordan 1 Mid (GS)                                                “Plaid”                     '],"['Choose your size (U.S.)', '4.5Y', '6.5Y', '7Y', '3.5Y', '4Y', '5Y', '5.5Y', '6Y', '7.5Y', '8Y', '8.5Y', '9Y', '9.5Y', '10Y']","['', '\n$200.00\n', '\n$185.00\n', '\n$185.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
1,['https://www.stadiumgoods.com/air-jordan-1-mid-gs-554725-700-university-gold-black-white'],['\n                        Air Jordan 1 Mid (GS)                                                                    '],"['Choose your size (U.S.)', '3.5Y', '4Y', '4.5Y', '5Y', '5.5Y', '6Y', '6.5Y', '7Y']","['', '\n$140.00\n', '\n$120.00\n', '\n$140.00\n', '\n$100.00\n', '\n$89.00\n', '\n$90.00\n', '\n$140.00\n', '\n                                                    Notify me                                            ']"
2,['https://www.stadiumgoods.com/air-jordan-1-mid-gs-555112-661-true-berry-rush-pink-white'],['\n                        Air Jordan 1 Mid (GS)                                                “True Berry”                     '],"['Choose your size (U.S.)', '4.5Y', '6.5Y', '7Y', '3.5Y', '4Y', '5Y', '5.5Y', '6Y']","['', '\n$219.00\n', '\n$115.00\n', '\n$110.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
3,['https://www.stadiumgoods.com/air-jordan-1-mid-gs-554725-062-black-cone-cone-light-bone'],['\n                        Air Jordan 1 Mid (GS)                                                                    '],"['Choose your size (U.S.)', '7Y', '3.5Y', '4Y', '4.5Y', '5Y', '5.5Y', '6Y', '6.5Y']","['', '\n$125.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
4,['https://www.stadiumgoods.com/air-jordan-1-retro-high-decon-black-black-sail-867338-010'],['\n                        Air Jordan 1 Retro High Decon                                                “DECON 1 BLACK”                     '],"['Choose your size (U.S.)', '10.5', '11', '11.5', '12', '13', '7', '7.5', '8', '8.5', '9', '9.5', '10', '12.5', '13.5', '14', '15', '16', '17', '18']","['', '\n$55.00\n', '\n$55.00\n', '\n$55.00\n', '\n$55.00\n', '\n$60.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
5,['https://www.stadiumgoods.com/air-jordan-1-retro-high-og-nrg-256856'],['\nAir Jordan 1 Retro High OG NRG “Gold Toe” '],"['Choose your size (U.S.)', '4.5', '5.5', '6', '6.5', '7', '8', '8.5', '9', '9.5', '10*', '10.5', '11', '11.5', '12', '13', '14', '4', '5', '7.5', '12.5', '13.5', '15', '16', '17', '18']","['', '\n$650.00\n', '\n$930.00\n', '\n$590.00\n', '\n$570.00\n', '\n$685.00\n', '\n$645.00\n', '\n$639.00\n', '\n$629.00\n', '\n$640.00\n', '\n$465.00\n', '\n$369.00\n', '\n$395.00\n', '\n$365.00\n', '\n$325.00\n', '\n$365.00\n', '\n$315.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
6,['https://www.stadiumgoods.com/air-jordan-1-retro-high-og-nrg-256833'],['\nAir Jordan 1 Retro High OG NRG “Rust Pink” '],"['Choose your size (U.S.)', '8*', '10', '13', '14', '7', '7.5', '8.5', '9', '9.5', '10.5', '11', '11.5', '12', '12.5', '13.5', '15', '16', '17', '18']","['', '\n$4,649.00\n', '\n$3,529.00\n', '\n$3,349.00\n', '\n$3,349.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
7,['https://www.stadiumgoods.com/jordan-1-retro-high-og-gs-575441-302-pine-green-sail-black'],['\n                        Jordan 1 Retro High OG GS                                                                    '],"['Choose your size (U.S.)', '5Y', '5.5Y', '6Y', '6.5Y', '7Y', '3.5Y', '4Y', '4.5Y', '7.5Y', '8Y', '8.5Y', '9Y', '9.5Y', '10Y']","['', '\n$510.00\n', '\n$510.00\n', '\n$370.00\n', '\n$419.00\n', '\n$349.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
8,['https://www.stadiumgoods.com/air-jordan-1-low-gs-553560-051-black-field-purple-white'],['\n                        Air Jordan 1 Low GS                                                                    '],"['Choose your size (U.S.)', '3.5Y', '5Y', '6Y', '6.5Y*', '4Y', '4.5Y', '5.5Y', '7Y', '7.5Y', '8Y', '8.5Y', '9Y', '9.5Y', '10Y']","['', '\n$279.00\n', '\n$129.00\n', '\n$89.00\n', '\n$89.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
9,['https://www.stadiumgoods.com/air-jordan-1-retro-high-og-bg-248847'],['\nAir Jordan 1 Retro High OG BG '],"['Choose your size (U.S.)', '3.5Y', '5Y', '5.5Y', '6Y*', '6.5Y*', '7Y*', '4Y', '4.5Y']","['', '\n$120.00\n', '\n$120.00\n', '\n$115.00\n', '\n$100.00\n', '\n$70.00\n', '\n$139.00\n', '\n                                                    Notify me                                            ', '\n                                                    Notify me                                            ']"
